H67_Cycle_Num,H67_Cycle_Life(%),H67_C_Rest_Start_Volt(V),H67_C_Rest_End_Volt(V),H67_D_Rest_Start_Volt(V),H67_D_Rest_End_Volt(V),H67_CC_Chg_Cur(A),H67_CC_Chg_Volt(V),H67_CC_Chg_CapaCity(Ah),H67_CC_Chg_Energy(Wh),H67_CC_Chg_Time(s),H67_CCCV_Chg_Cur(A),H67_CCCV_Chg_Volt(V),H67_CCCV_Chg_CapaCity(Ah),H67_CCCV_Chg_Energy(Wh),H67_CCCV_Chg_Time(s),H67_CV_Chg_Time(s),H67_CC_Dischg_Cur(A),H67_CC_Dischg_Volt(V),H67_CC_Dischg_CapaCity(Ah),H67_CC_Dischg_Energy(Wh),H67_CC_Dischg_Time(s),H67_Volt_CC_DChg_00s,H67_Volt_CC_DChg_10s,H67_Rin(ohm)
60.0,99.84046926040038,4.1976,4.1908,2.6069,3.156,1.3995,4.1961,2.503980611111111,9.521543027777778,6440.0,0.055799999999999995,4.1998,2.7350010833333336,10.491725333333333,8230.800000000001,1790.800000000001,-2.7979000000000003,2.4993,2.7339926111111117,9.775747222222222,3517.5,4.1012,4.0646,0.013081239501054349
61.0,99.7962000811901,4.1976,4.1908,2.605,3.1575,1.3991,4.1967,2.5078455833333333,9.536272916666668,6450.0,0.055799999999999995,4.1995,2.7352578333333333,10.491316527777775,8212.0,1762.0,-2.7983000000000002,2.4996,2.7327803611111112,9.771453972222222,3515.9,4.1024,4.0649,0.013400993460315381
62.0,100.10617563114415,4.1979,4.1908,2.605,3.1281,1.3995,4.1967,2.4958702222222224,9.489112111111112,6420.0,0.055799999999999995,4.1998,2.734669361111111,10.491951166666666,8258.0,1838.0,-2.7976,2.4987,2.7412686111111113,9.808073111111112,3526.6000000000004,4.1012,4.0659,0.012617958249928628
63.0,100.2826832728144,4.1979,4.1914,2.5908,3.1153,1.3991,4.1964,2.5318104722222223,9.621863027777776,6510.0,0.055799999999999995,4.1998,2.7447535277777777,10.51615775,8174.900000000001,1664.9000000000005,-2.7986999999999997,2.4996,2.746102027777778,9.834570416666667,3532.7000000000003,4.1102,4.0708,0.01407796476935708
64.0,100.28456700292584,4.1976,4.1914,2.5957,3.1141,1.3995,4.1958,2.531775194444444,9.618075472222225,6510.0,0.055799999999999995,4.1998,2.7478651666666667,10.5255765,8202.4,1692.3999999999996,-2.7979000000000003,2.4996,2.746153611111112,9.834975333333334,3532.7000000000003,4.1052,4.0708,0.012294935487329697
65.0,99.89939947962183,4.1982,4.1914,2.5917,3.1507,1.4005999999999998,4.1967,2.5395982777777775,9.649740277777775,6530.0,0.055799999999999995,4.1998,2.7484907222222223,10.527030583333332,8186.8,1656.8000000000002,-2.7983000000000002,2.4996,2.735606333333333,9.790672944444445,3519.4,4.1071,4.0714,0.012757745774220165
66.0,99.51793550970334,4.1976,4.1905,2.6063,3.1752,1.4005999999999998,4.1964,2.495996888888889,9.487604722222223,6420.0,0.055799999999999995,4.1995,2.7359515,10.495276555555556,8283.2,1863.2000000000007,-2.7986999999999997,2.499,2.7251604722222225,9.73620675,3506.3,4.0981,4.0615,0.013077500267981552
67.0,99.39677626117836,4.1979,4.1902,2.5957,3.1826,1.3988,4.1961,2.4802410833333335,9.432556333333334,6380.0,0.055799999999999995,4.1995,2.726754166666667,10.467785083333334,8281.300000000001,1901.300000000001,-2.7971999999999997,2.5,2.7218426944444447,9.720948694444443,3502.1000000000004,4.0981,4.0597,0.013728013728013487
68.0,99.833434436317,4.1976,4.1905,2.601,3.1457,1.3995,4.1967,2.476212388888889,9.419457361111112,6370.0,0.055799999999999995,4.1995,2.7232,10.456670555555556,8282.800000000001,1912.800000000001,-2.7986999999999997,2.4993,2.733799972222222,9.772668222222224,3517.3,4.0981,4.0615,0.013077500267981552
69.0,100.22956147503513,4.1979,4.1911,2.6001,3.1116,1.4005999999999998,4.1964,2.519806472222222,9.579672361111111,6480.0,0.055799999999999995,4.1995,2.7374879166666664,10.493836666666667,8199.1,1719.1000000000004,-2.7983000000000002,2.4996,2.744647361111111,9.828936222222225,3530.9,4.1096,4.0699,0.014187185076653943
70.0,100.19677219548622,4.1982,4.1911,2.6023,3.1138,1.3991,4.1961,2.531816138888889,9.616810861111112,6510.0,0.055799999999999995,4.1998,2.7466548888888886,10.51905522222222,8196.6,1686.6000000000004,-2.7983000000000002,2.4996,2.7437494722222224,9.825959138888889,3529.7000000000003,4.1049,4.0705,0.01229317800092905
71.0,100.20201458494016,4.1979,4.1908,2.6016,3.1116,1.4002000000000001,4.1964,2.531755638888889,9.61799358333333,6510.0,0.055799999999999995,4.1995,2.74566825,10.516342166666668,8192.1,1682.1000000000004,-2.7976,2.4996,2.7438930277777778,9.825947333333334,3529.8,4.1062,4.0702,0.012868172719474005
72.0,100.39224596633989,4.1976,4.1911,2.5995,3.0943,1.401,4.1967,2.53965125,9.64856675,6530.0,0.055799999999999995,4.1995,2.746280527777778,10.516338166666667,8180.400000000001,1650.4000000000005,-2.7994,2.5,2.74910225,9.85145725,3536.3,4.1083,4.0724,0.01282417660927335
73.0,100.46062628234014,4.1976,4.1914,2.5957,3.0862,1.4002000000000001,4.1964,2.5475643333333333,9.674919166666669,6550.0,0.055,4.1995,2.751568888888889,10.53166888888889,8177.1,1627.1000000000004,-2.7986999999999997,2.499,2.7509747499999997,9.861235388888888,3538.6000000000004,4.1083,4.0736,0.012398613642048079
74.0,100.49455675541375,4.1979,4.1914,2.5923,3.0815,1.4002000000000001,4.1967,2.551508555555556,9.68877788888889,6560.0,0.055799999999999995,4.1998,2.752365944444444,10.532315694444444,8173.8,1613.8000000000002,-2.7986999999999997,2.4993,2.751903888888889,9.866242611111112,3539.8,4.108,4.0745,0.011969843141458566
75.0,100.49911848632983,4.1979,4.1911,2.5954,3.0772,1.4002000000000001,4.1961,2.5516226944444442,9.687434277777779,6560.0,0.055799999999999995,4.1998,2.752986111111112,10.533093000000001,8149.500000000001,1589.500000000001,-2.7986999999999997,2.499,2.752028805555556,9.867881888888887,3539.9,4.1083,4.0745,0.012077035766606023
76.0,100.55346567235608,4.1982,4.1914,2.5883,3.0729,1.3991,4.1964,2.5555258055555554,9.702053055555556,6570.0,0.055799999999999995,4.1998,2.7544940277777776,10.53766136111111,8164.1,1594.1000000000004,-2.7983000000000002,2.4993,2.753517027777778,9.87466513888889,3541.8,4.1093,4.0752,0.01218597005324678
