H21_Cycle_Num,H21_Cycle_Life(%),H21_C_Rest_Start_Volt(V),H21_C_Rest_End_Volt(V),H21_D_Rest_Start_Volt(V),H21_D_Rest_End_Volt(V),H21_CC_Chg_Cur(A),H21_CC_Chg_Volt(V),H21_CC_Chg_CapaCity(Ah),H21_CC_Chg_Energy(Wh),H21_CC_Chg_Time(s),H21_CCCV_Chg_Cur(A),H21_CCCV_Chg_Volt(V),H21_CCCV_Chg_CapaCity(Ah),H21_CCCV_Chg_Energy(Wh),H21_CCCV_Chg_Time(s),H21_CV_Chg_Time(s),H21_CC_Dischg_Cur(A),H21_CC_Dischg_Volt(V),H21_CC_Dischg_CapaCity(Ah),H21_CC_Dischg_Energy(Wh),H21_CC_Dischg_Time(s),H21_Volt_CC_DChg_00s,H21_Volt_CC_DChg_10s,H21_Rin(ohm),DChg_IR,Chg_IR
33,98.26499050673314,4.1958,4.1871,2.7092,2.9885,2.5003,4.1976,3.931092,15.005957333333333,5660.0,0.09997,4.1995,4.777028977777778,18.55858346666667,9414.300000000001,3754.300000000001,-5.0003,2.5,4.77182,16.427985777777778,3435.6000000000004,3.9911,3.9298,0.01225926444413329,0.03919764814111157,0.48358197016358045
34,98.28048542192067,4.1958,4.1874,2.703,2.9867,2.5003,4.1982,3.931094222222222,15.007656888888889,5660.0,0.09996,4.1995,4.775307733333333,18.553053866666666,9397.800000000001,3737.800000000001,-5.0,2.4996,4.772572444444444,16.440485333333335,3436.1000000000004,3.9871,3.9326,0.010899999999999998,0.040060000000000075,0.4845418549774027
35,98.28350569481609,4.1958,4.1877,2.6962,2.9861,2.5005,4.1989,3.9450391111111114,15.059022222222222,5680.0,0.1,4.1998,4.776014222222222,18.548944,9324.1,3644.1000000000004,-5.0003,2.5,4.772719111111113,16.44781688888889,3436.2000000000003,3.9887,3.9344,0.010859348439093657,0.03979761214327146,0.4850229954009198
36,98.31249116226964,4.1961,4.188,2.6984,2.9842,2.5003,4.1979,3.945022666666666,15.056337777777781,5680.0,0.1,4.1998,4.776149333333334,18.54689955555556,9280.7,3600.7000000000007,-5.0,2.4996,4.774126666666667,16.46371377777778,3437.2000000000003,3.9902,3.9375,0.010540000000000039,0.03955999999999991,0.48542174939007304
37,98.54643417887246,4.1998,4.1998,2.7058,2.9845,2.5003,4.1985,3.951979555555556,15.080199111111114,5690.0,0.1,4.1998,4.776968888888889,18.544984888888887,9266.6,3576.6000000000004,-5.0,2.5,4.785487111111112,16.510049777777777,3445.4,4.0048,3.945,0.011960000000000104,0.03899999999999988,0.4855417349918009
38,98.24855290030855,4.1961,4.188,2.6981,2.9848,2.5005,4.1985,3.9519546666666665,15.081562666666668,5690.0,0.1,4.1998,4.775073777777778,18.538497777777778,9254.5,3564.5,-5.0,2.5,4.771021777777778,16.455269333333334,3435.0,3.9927,3.9381,0.01092000000000004,0.039059999999999914,0.48538292341531697
39,98.16421406779048,4.1958,4.1874,2.707,2.9864,2.5000999999999998,4.1989,3.9449693333333333,15.055637333333333,5680.0,0.1,4.1998,4.772193777777778,18.52980977777778,9284.300000000001,3604.300000000001,-5.0,2.4996,4.766926222222223,16.433994666666667,3432.1000000000004,3.9958,3.9353,0.012100000000000045,0.03832000000000004,0.484980600775969
40,98.00690361165148,4.1958,4.1877,2.7024,2.9926,2.5003,4.1985,3.9379817777777775,15.03037511111111,5670.0,0.1,4.1998,4.769235555555556,18.52146488888889,9300.900000000001,3630.9000000000015,-4.9996,2.5,4.759287111111111,16.391706666666664,3426.7000000000003,3.9936,3.9344,0.011840947275782002,0.038823105848468,0.48230212374515063
41,97.94533580629616,4.1954,4.1865,2.7083,2.9898,2.5000999999999998,4.1973,3.896154666666667,14.879376,5610.0,0.09966,4.1995,4.758251022222223,18.499740444444445,9492.6,3882.6000000000004,-4.9996,2.5,4.756297333333333,16.376832,3424.5,3.9918,3.9254,0.013281062484998846,0.03894311544923587,0.48298068077276934
42,97.84412005493236,4.1954,4.1865,2.6968,2.9938,2.5000999999999998,4.1989,3.9101164444444447,14.931038222222222,5630.0,0.1,4.1995,4.758822222222222,18.495178666666668,9446.800000000001,3816.800000000001,-5.0,2.5,4.751382222222223,16.35117866666667,3421.0,3.9899,3.9257,0.012840000000000008,0.03931999999999993,0.4820207191712333
